Risk_ID,Year,Company,Industry,Risk_Category,Risk_Type,AI_Adoption_Rate,Competitor_AI_Investment_USD_B,Market_Share_Change_Pct,Customer_Churn_Rate_Pct,Inventory_Turnover_Improvement_Pct,Likelihood_Score_1_9,Impact_Score_1_9,Probability_0_1,Financial_Impact_USD_M,Expected_Loss_USD_M,Risk_Priority,Outcome,Risk_Score
RE001,2024,Home Depot,Grocery,Financial,Data Breach,0.7,1.71,-6.06,8.64,25.22,9,2,0.88,7036.0,6192.0,Medium,Partial Loss,18
RE002,2021,Kroger,Pharmacy,Compliance,Customer Attrition,0.63,20.92,-5.65,14.74,2.81,5,2,0.74,1645.0,1217.0,Low,Loss Avoided,10
RE003,2022,Walmart,Consumer Electronics,Technology,Customer Attrition,0.74,21.18,-7.86,7.31,25.56,5,1,0.58,9761.0,5661.0,Low,Loss Realized,5
RE004,2024,Walgreens,Pharmacy,Competitive,Workforce Resistance,0.18,7.48,-7.84,8.19,22.63,5,4,0.22,13027.0,2866.0,Medium,Loss Avoided,20
RE005,2020,Kroger,E-Commerce,Reputational,Regulatory Non-Compliance,0.13,11.84,1.12,14.85,21.19,7,1,0.65,12431.0,8080.0,Low,Loss Realized,7
RE006,2022,Kroger,Consumer Electronics,Reputational,Data Breach,0.51,11.24,0.05,4.24,14.64,9,2,0.61,9410.0,5740.0,Medium,Partial Loss,18
RE007,2022,Best Buy,Grocery,Operational,Revenue Loss,0.41,5.85,-4.09,14.2,3.62,1,2,0.59,1175.0,693.0,Low,Partial Loss,2
RE008,2024,Costco,Consumer Electronics,Reputational,Market Share Erosion,0.47,10.22,-0.32,1.6,9.82,3,6,0.49,1730.0,848.0,Medium,Loss Realized,18
RE009,2019,Home Depot,Retail,Compliance,Legacy Integration Failure,0.89,1.59,-3.65,7.25,22.77,1,8,0.53,787.0,417.0,Low,Loss Avoided,8
RE010,2020,Costco,Consumer Electronics,Financial,Supply Chain Disruption,0.88,7.31,2.48,1.98,-3.89,7,2,0.35,3899.0,1365.0,Low,Partial Loss,14
RE011,2024,Target,Retail,Compliance,AI Model Failure,0.85,20.51,2.64,11.21,22.37,5,9,0.52,2078.0,1081.0,High,Opportunity Captured,45
