Risk_ID,Risk,Risk_Category,Likelihood_Score,Impact_Score,Probability,Expected_Loss_B,Monte_Carlo_Mean_B,Monte_Carlo_P90_B,ML_Warning_Percent,Risk_Score,High_Risk_Event
R6,Legacy System Integration Failure and Vendor Dependency,Technical,7.888119881953079,9.0,0.642323303376011,3.7265194765800467,3.4116337756866737,5.757653305770487,73.82895867396687,70.9930789375777,1
R8,System Downtime and AI Platform Unavailability,Technical,6.075917162252895,7.4475739507382706,0.43501699766072216,3.062145699583162,5.103206630958331,8.396100897890076,56.80157038931766,45.25084238443826,1
R6,Legacy System Integration Failure and Vendor Dependency,Technical,8.37052503907575,9.0,0.8247590424830235,3.3444244735653528,3.8938179035097136,5.766779066788325,73.59796919915271,75.33472535168174,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.947439821046639,8.458464048993543,0.828182254760715,5.185962886272549,4.242367051808795,10.604723595538115,75.53325080023183,67.22313400786267,1
R6,Legacy System Integration Failure and Vendor Dependency,Technical,9.0,9.0,0.637491065284309,3.6466918441481386,3.1179692718631093,4.765661674809168,84.58960333466946,81.0,1
R6,Legacy System Integration Failure and Vendor Dependency,Technical,8.46185833833704,9.0,0.47895678757098126,3.300932061024773,3.54591057209049,5.615385624713164,83.29341031072696,76.15672504503335,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.582122794713039,9.0,0.751546586408701,5.985197709134526,5.044601132453366,8.557156008701297,73.23477368362013,68.23910515241735,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,8.09964697578482,8.004298523394574,0.5843034700735463,6.045026855289966,6.519205594948001,9.338033667842247,93.32826318313619,64.83199232829176,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.972963533755787,9.0,0.7996347402306779,5.551708502073053,8.420749826420678,8.420749826420678,82.11089287987839,71.75667180380208,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,6.939135912525254,9.0,0.6560794119627307,5.2954312075969225,3.365324999748438,9.128944606822083,88.15690057209397,62.45222321272728,1
R6,Legacy System Integration Failure and Vendor Dependency,Technical,8.21074167130208,9.0,0.6030270862630699,2.8353413476953717,4.153893265759711,7.335799987123776,80.45693496045024,73.89667504171871,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.314512895863172,9.0,0.7574915992426312,4.469864782367553,4.930949063328986,8.884774855164864,73.59188041494305,65.83061606276854,1
R7,Customer Data Breach and Information Security Risk,Cybersecurity,2.34482395243653,9.0,0.41835868387357655,3.3918214633416417,3.904318024981474,9.097597758762683,66.71951064075805,21.10341557192877,1
R7,Customer Data Breach and Information Security Risk,Cybersecurity,2.977685066804265,9.0,0.44404432673870664,2.21848472498469,3.5927712837330987,9.414292178812467,84.70593689988229,26.799165601238386,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.477754099433527,8.766874219734998,0.6340232633909281,4.761641850846521,5.560519133420843,9.429549707678484,91.43837470965123,65.55652963584149,1
R7,Customer Data Breach and Information Security Risk,Cybersecurity,3.8502074225056413,9.0,0.3772490036164209,4.610011903873992,2.699077179397576,10.151306502773478,82.52364500647982,34.65186680255077,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,6.5065675177966735,9.0,0.816528396294277,6.108532992260795,5.248624946902098,8.92239635568512,90.49269386103285,58.55910766017006,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,5.777126463324693,8.172518189189578,0.8039947524014032,4.385416575970313,4.936231577914807,10.591940379795451,75.45308546852836,47.21367110276951,1
R7,Customer Data Breach and Information Security Risk,Cybersecurity,6.363886524417105,9.0,0.42404072337368853,3.4517759636912366,2.674261067295068,10.99642279493104,75.3951745141159,57.274978719753946,1
R14,"Regulatory Non-Compliance, Shadow AI and AI Governance Risk",Compliance,6.132853843950446,6.225443565311289,0.44771585675975806,1.451511693549627,2.2607182941110877,4.969253745935259,32.78518865578906,38.179735499815905,0
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.174833011991471,7.9048305968766845,0.7639477913856693,6.578109887974769,5.932781404394859,8.088431877062629,79.29056460268858,56.71583952067108,1
R7,Customer Data Breach and Information Security Risk,Cybersecurity,3.8695719468794696,9.0,0.4830224741549199,4.191883315196033,4.842536080128535,8.986579331653983,58.970110685140085,34.826147521915225,1
R6,Legacy System Integration Failure and Vendor Dependency,Technical,9.0,8.78436494262557,0.7167505576549307,3.4335352022890375,5.685266716684542,6.33790509076745,67.14875786254761,79.05928448363014,1
R7,Customer Data Breach and Information Security Risk,Cybersecurity,4.965470343905191,8.036196751744999,0.48859779321945485,3.4391067945653875,4.0739575210610415,9.992296055590677,64.41736869874502,39.90349664857702,1
R14,"Regulatory Non-Compliance, Shadow AI and AI Governance Risk",Compliance,6.547537767655331,6.699344815413247,0.5036456934677054,1.565040384564592,1.8082861905359966,4.393742763208166,44.18087392291163,43.86421319746417,1
R7,Customer Data Breach and Information Security Risk,Cybersecurity,5.092478871551097,8.20452830741898,0.46229800847564223,3.64191027728112,2.8672979004696613,9.830723410807423,69.48627621094587,41.78138705657404,1
R7,Customer Data Breach and Information Security Risk,Cybersecurity,4.040991903573222,9.0,0.5224097567965248,3.1651888518111395,3.80783103809208,9.68996188362666,65.19145451572669,36.368927132158994,1
R8,System Downtime and AI Platform Unavailability,Technical,7.871913988812393,9.0,0.570845251214448,4.572673354362779,5.396319553885261,9.260337441314377,74.17175376394613,70.84722589931154,1
R6,Legacy System Integration Failure and Vendor Dependency,Technical,9.0,8.229663973953569,0.6168291086368305,2.7685091000529605,2.5834490968843755,6.584973008065594,75.08374555688087,74.06697576558211,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.080198712540815,8.57526132078951,0.7671160477573893,5.266851219859282,4.2234711254570785,8.427129947687884,90.7367819914774,60.714554163154936,1
R8,System Downtime and AI Platform Unavailability,Technical,9.0,9.0,0.5890748392761364,4.476492270800544,4.843165566119126,10.364543916591694,76.48415795195962,81.0,1
R6,Legacy System Integration Failure and Vendor Dependency,Technical,8.371430252524293,8.28673133541057,0.6108210846826481,3.4130921129678837,4.40373491216187,5.124722118385209,75.72399011327242,69.37179339579708,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.317767032437119,7.548995423542928,0.7556305352070054,6.51706312958779,5.5958658375822585,11.778312996854957,74.68534587091283,55.24178983842113,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,8.843715797751846,9.0,0.6233864427504976,5.661572205272078,5.970634839194551,8.127466452245434,84.8237971515056,79.59344217976661,1
R8,System Downtime and AI Platform Unavailability,Technical,5.70505752552014,8.905393345728228,0.32040307427538806,2.841451897656238,6.171543016526288,11.649318630826503,67.07270282768233,50.805781324763814,1
R8,System Downtime and AI Platform Unavailability,Technical,6.534335228745453,9.0,0.48081864488156695,3.0862013559951738,5.231752760524488,10.01022903614612,63.298264982729634,58.80901705870908,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.647162696787044,9.0,0.5282098414009074,6.531762392144563,4.659805915126081,12.429625780528612,90.79478810212777,68.8244642710834,1
R6,Legacy System Integration Failure and Vendor Dependency,Technical,9.0,9.0,0.5701840384143525,2.9709642047784897,3.4718999590109725,5.697470540364802,85.1968167761682,81.0,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.952011093846695,9.0,0.7089611129553977,5.804566699397153,4.646066151427545,10.681484584332493,89.7138960837206,71.56809984462025,1
R7,Customer Data Breach and Information Security Risk,Cybersecurity,4.289872042072516,8.981188565432266,0.45938619066470254,4.519918724967666,3.2255969115344776,10.095662784947468,63.38245878052885,38.528149731429245,1
R14,"Regulatory Non-Compliance, Shadow AI and AI Governance Risk",Compliance,8.552859775839325,5.604433912073151,0.3873667717782963,1.7679053468067487,2.174744426444002,5.424686935957492,34.31449525130312,47.933937372920276,1
R14,"Regulatory Non-Compliance, Shadow AI and AI Governance Risk",Compliance,7.9491429877809985,6.291749717239598,0.4095885556505852,1.7125906442375531,2.4024683341356585,4.175790432171301,55.239098205483685,50.01401814566823,1
R6,Legacy System Integration Failure and Vendor Dependency,Technical,9.0,7.92300557770783,0.6816542663618489,3.513574784151271,3.330525276744563,6.241734019144555,61.67985801095777,71.30705019937047,1
R14,"Regulatory Non-Compliance, Shadow AI and AI Governance Risk",Compliance,8.770431516566719,5.25705252288674,0.3942891326677605,1.8187449686366097,1.9498091896747674,4.172934637565568,40.4494976919353,46.10661913097245,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,6.56669659309744,9.0,0.7247287362091622,6.1074432550876985,6.3287870119872975,8.764027469505345,79.98618045356461,59.10026933787696,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,8.360111366248171,9.0,0.7980284973559642,6.0919660081301,5.089145978538496,9.413073049609793,77.27976508289753,75.24100229623355,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,6.317657398879846,8.956624063017768,0.7816910580784733,6.001697625522601,5.704701891520543,9.565844176682548,73.73512022022334,56.58488228070947,1
R14,"Regulatory Non-Compliance, Shadow AI and AI Governance Risk",Compliance,6.1558630864822605,6.2016832336293755,0.42100739206254356,1.7128191691124075,1.8680623784260548,4.777500264420885,42.4839863299636,38.17671289195501,0
R8,System Downtime and AI Platform Unavailability,Technical,6.568057798391628,9.0,0.5760329238730718,5.23475542290725,4.733555775163704,11.143458706409449,56.477204327421106,59.11252018552465,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.784006410914168,7.088493848121174,0.6379395982655391,4.410502031984154,5.381851419404359,9.923926461700457,100.0,55.17688155750086,1
R6,Legacy System Integration Failure and Vendor Dependency,Technical,9.0,9.0,0.6793570413223572,4.01552834776637,4.290226617415947,6.1259692713039415,77.81111107366476,81.0,1
R7,Customer Data Breach and Information Security Risk,Cybersecurity,4.717778811012789,7.45817892381821,0.558309789933233,3.5175313114181153,4.414333039520355,7.098598491517283,60.20499981636982,35.18603849553172,1
R5,"Inventory Forecast Error, Stockout Risk and Fulfillment Disruption",Operational,7.259389308999694,9.0,0.8012986658347118,5.524956820341865,4.944756038410254,7.175641162886924,74.35127907566513,65.33450378099724,1
